Week Ending,Year,Status,Total Volume,California,Chile,Mexico,Peru,Colombia,Dominican Republic
"Jan 9, 2022",2022,Actual,25242893,42476,0,24826202,0,154221,219992
"Jan 16, 2022",2022,Actual,25842385,254741,45359,25417092,0,45359,79832
"Jan 23, 2022",2022,Actual,27651102,1358681,0,26249028,0,43391,N/A
"Jan 30, 2022",2022,Actual,27067867,2351814,199580,24429687,0,86783,N/A
"Feb 6, 2022",2022,Actual,23700493,2529702,226796,20705339,0,238655,N/A
"Feb 13, 2022",2022,Actual,13538106,1837830,199580,10979992,0,520702,N/A
"Feb 20, 2022",2022,Actual,11411144,3432575,222260,7300693,0,455615,N/A
"Feb 27, 2022",2022,Actual,26431640,3658560,594205,21853434,0,325439,N/A
"Mar 6, 2022",2022,Actual,29166929,3454216,576061,24811211,0,325439,N/A
"Mar 13, 2022",2022,Actual,25843478,3630077,426376,21678544,0,108479,N/A
"Mar 20, 2022",2022,Actual,22051255,3436635,145149,18035551,0,433919,N/A
"Mar 27, 2022",2022,Actual,18189130,3153811,299370,14519564,64511,151871,N/A
"Apr 3, 2022",2022,Actual,21009354,2482199,340194,18021432,100440,65087,N/A
"Apr 10, 2022",2022,Actual,23623647,3972180,81646,19288540,86015,195263,N/A
"Apr 17, 2022",2022,Actual,15061578,5023348,40823,9827999,60927,108479,N/A
"Apr 24, 2022",2022,Actual,28462618,6160887,45359,22040948,172030,43391,N/A
"May 1, 2022",2022,Actual,26271615,6885495,0,19169455,108183,108479,N/A
"May 8, 2022",2022,Actual,20714546,6512660,0,13485959,260311,455615,N/A
"May 15, 2022",2022,Actual,19223342,5628260,0,12496727,881394,216959,N/A
"May 22, 2022",2022,Actual,21200487,5477897,0,13862334,1534815,325439,N/A
"May 29, 2022",2022,Actual,22486369,6193663,0,13390605,2815316,86783,N/A
"Jun 5, 2022",2022,Actual,19381327,4435506,0,10641296,3979084,325439,N/A
"Jun 12, 2022",2022,Actual,18444108,5252162,0,8023321,4344177,824446,N/A
"Jun 19, 2022",2022,Actual,18766839,5144619,0,6666463,5979437,976318,N/A
"Jun 26, 2022",2022,Actual,21500462,4850092,0,8761622,6999212,889534,N/A
"Jul 3, 2022",2022,Actual,29082105,5177817,0,15018145,7497600,1388541,N/A
"Jul 10, 2022",2022,Actual,26385446,4046401,0,11327105,9449830,1562108,N/A
"Jul 17, 2022",2022,Actual,29210056,4142726,0,14387374,9551765,1128189,N/A
"Jul 24, 2022",2022,Actual,22089980,2941466,0,10048148,8124048,976318,N/A
"Jul 31, 2022",2022,Actual,23778031,1924743,0,12139786,9019230,694270,N/A
"Aug 7, 2022",2022,Actual,27570791,1069197,0,15061596,10203327,1236669,N/A
"Aug 14, 2022",2022,Actual,26731328,1013334,0,16233916,9440685,43391,N/A
"Aug 21, 2022",2022,Actual,25305885,944620,0,15849792,8272816,238655,N/A
"Aug 28, 2022",2022,Actual,25780873,798607,0,17648270,7268906,65087,N/A
"Sep 4, 2022",2022,Actual,25894075,619561,0,19425551,5675394,173567,N/A
"Sep 11, 2022",2022,Actual,24727419,219822,0,20636343,3806165,65087,N/A
"Sep 18, 2022",2022,Actual,21788221,206441,0,17562941,4018838,0,N/A
"Sep 25, 2022",2022,Actual,23784548,156761,0,21219150,2408636,0,N/A
"Oct 2, 2022",2022,Actual,25288724,156761,172664,23059562,1851903,47831,N/A
"Oct 9, 2022",2022,Actual,25671573,6531,214422,24396956,1031965,21695,N/A
"Oct 16, 2022",2022,Actual,21149604,0,259926,20459409,408571,21695,N/A
"Oct 23, 2022",2022,Actual,22671452,0,340716,22226192,43007,43391,18143
"Oct 30, 2022",2022,Actual,24804317,0,297793,24404164,0,43391,58966
"Nov 6, 2022",2022,Actual,24053517,0,320427,23629747,0,21695,81646
"Nov 13, 2022",2022,Actual,27568827,0,318031,26935028,0,238655,77110
"Nov 20, 2022",2022,Actual,20510590,0,338341,19877194,0,195263,99790
"Nov 27, 2022",2022,Actual,17229035,0,318107,16483129,0,368831,58966
"Dec 4, 2022",2022,Actual,22517806,0,358424,21942422,0,108479,108479
"Dec 11, 2022",2022,Actual,24849015,108479,229899,24343188,0,108479,58966
"Dec 18, 2022",2022,Actual,24255172,0,229899,23818969,0,151871,54431
"Dec 25, 2022",2022,Actual,25281352,0,87983,24980180,0,117933,95254
"Jan 1, 2023",2022,Actual,23876549,0,165744,23592870,0,117933,0
